员工ID,真实姓名,身份证号,上级ID
lyh4200,李延华,230229197712308947,zjy1161
cbt1819,仇百堂,372929196609062893,zjy1161
wyh9929,王艳辉,232724197003514062,xdg1722
szx8887,石忠信,232724196004691407,wyh9929
sy0089,石岩,232724198311804392,szx8887
lm2275,卢敏,232724194805287430,xdg1722
wds1636,卢敏,232724194805324150,lm2275
wdb8692,卢敏,232724194805647259,lm2275
lsl1856,李世良,232724197405473851,xdg1722
shx1913,孙洪喜,220121197103874031,xdg1722
qcq1707,邱长芹,232724197004209461,xdg1722
zy1618,张瑜,232724197703872106,qcq1707
llp9586,刘丽萍,152127195303741963,xdg1722
yym3415,杨艳梅,232724197308750241,xdg1722
mjf4906,马俊芳,152127195206618974,xdg1722
dcj5618,董长久,232724196403601742,xdg1722
dx0787,董鑫,232723199410042679,dcj5618
ljt6341,李佳桐,370213199704072931,dcj5618
lsb2561,刘世滨,232724196510782954,dcj5618
zwc1868,赵万超,152105199405938012,lsb2561
cxy6028,蔡秀岩,152126196804682904,lsb2561
lw4472,刘巍,232724198703726059,lsb2561
hdx9743,韩冬雪,152106199001491083,lsb2561
ly1032,刘云,220421198904631284,lsb2561
gxf1974,高秀芳,232724196806510693,lsb2561
lsy6985,刘世义,232724196905951360,lsb2561
dch2013,董长花,231022197007294537,dcj5618
lyf0128,刘育范,152127196012084719,xdg1722
xdy9095,谢德艳,232724195610395617,xdg1722
xyk9898,谢英坤,232724198510852607,xdg1722
lxm6620,刘学梅,152127196101149387,xdg1722
zly5011,张连英,152224196409823056,xdg1722
csj5022,陈淑杰,152224195809312864,xdg1722
yyj0980,于彦军,370702195602958436,xdg1722
lyf9684,刘云峰,232724195704910456,xdg1722
cbx8252,陈宝香,232700196203176805,xdg1722
smo2318,商孟藕,232724196604267349,sym5972
qfj6294,屈凤娟,232724197009054689,sym5972
agq0450,敖桂琴,152126195603536701,sym5972
txz0031,田晓芝,152126195501672594,agq0450
zhz1167,邹怀芝,232724195402267805,sym5972
yfl7253,袁福丽,232724197205830157,sym5972
qfy8287,齐凤云,152126196601314705,sym5972
kcj6758,寇春菊,152126195704361749,sym5972
mfh9805,米方浩,152105199912197428,kcj6758
fsr0469,冯尚荣,232721195705430925,sym5972
sgy2228,孙国英,222405196203937186,sym5972
cym2829,曹玉梅,230231197202210536,sgy2228
xb0656,徐彬,152127196502092176,sgy2228
zcl4456,张春玲,230231197002320865,sgy2228
dyh4690,董玉华,152104196812386291,sgy2228
myf8434,麻雅繁,232721196205632194,sym5972
sgl9349,宋广兰,232724194003859327,sym5972
sxj2427,宋兴军,152105198312497638,sym5972
yjl4399,袁金龙,232724198804854916,sym5972
zxf7000,张雄飞,152127195509412609,sym5972
hfq3318,侯风琴,410927197507784319,sym5972
llw9197,刘丽维,410927197909862704,hfq3318
lxh9827,李香焕,372928197209042619,llw9197
wye8090,万玉娥,410927196911913628,hfq3318
wgy4767,王广玉,410927195408409276,hfq3318
wfh4882,王福华,370611196904230156,sym5972
lfl2458,刘凤兰,232724196407105798,wfh4882
lxh3996,刘晓焕,232722196703763148,wfh4882
lzj0346,刘志菊,433127197005861273,sym5972
lzx5094,刘志霞,433127197504092183,lzj0346
yyh8926,杨玉华,210219195707862409,sym5972
zfr2359,周福荣,210219196806461873,sym5972
yfs3212,袁福生,232724196407146092,sym5972
wrl8219,吴让礼,152127193302607528,sym5972
zxm4205,赵锡蒙,152127196012846273,wrl8219
lys8843,李永山,230225196908638950,sym5972
sym3212,尚玉梅,232724196406156790,sym5972
zxx1935,张秀香,232722196107105372,sym3212
gzy9832,龚智英,510304196408437081,sym3212
twj8731,田文军,232700197106805926,sym5972
zlh8231a,朱丽华,232700197205641507,sym5972
xsy4946,项淑媛,210114196005723815,sym5972
xxm2439,邢秀梅,152123197810231605,wyj9489
YZS5997,于占水,152123196801963418,xxm2439
mhg1687,马洪国,152123196401132579,YZS5997
gmy6879,郭梅永,152123197003160429,YZS5997
aby5363,敖百燕,152123199110534106,gmy6879
lxw5847,兰秀文,150722196407836719,YZS5997
ayt7330,敖英涛,152123196612817590,YZS5997
djn8909,杜金娜,152123197112293608,ayt7330
gyl4476,郭月磊,152123199012623091,ayt7330
mlm1306,孟莉梅,152123197412639748,YZS5997
gyq9761,郭亚青,152123196801241709,YZS5997
cgq999,曹桂秋,152123197210658037,YZS5997
56cgq999,曹贵秋,152123197210836940,cgq999
56cgq0648,曹贵秋,152123197210936720,cgq999
ylf999,杨丽芳,152123197903163420,YZS5997
ghl1560,宫海龙,152123197901241503,YZS5997
wmz4388,王明志,152123198011920768,YZS5997
wxj9170,王秀娟,152123196806894023,YZS5997
56hwj7306,何文菊,152131196902862074,wxj9170
56hwj6748,何文菊,152131196902370862,wxj9170
hwj4406,何文菊,152131196902083162,56hwj6748
hjc3035,华景昌,152123197201184759,YZS5997
mfx4533,孟凡侠,150722196203715423,YZS5997
ml4659,孟灵,152123197609275143,YZS5997
hjc4706a,华景昌,152123197201529346,YZS5997
56gyf1266,郭英芳,152123197007164932,YZS5997
dyk6680,段永奎,222303196901357491,xxm2439
dyk6680a,段永奎,222303196901582760,xxm2439
xxf6546,邢秀芳,152123197206507419,xxm2439
56xxf6546,邢秀芳,152122197206219736,xxf6546
lxw4050,李喜文,152123198708137408,xxm2439
zl6636,张蕾,152123198104658293,xxm2439
zc72341,张翠,152123197811842169,zl6636
zl6636a,张蕾,152123198104098657,xxm2439
zc7234,张翠,152123197811194052,xxm2439
xgp9804,溪国萍　,152123199003190264,xxm2439
lpz8834,李培忠,230231196603024659,xxm2439
yul1000,于浦连,152123196602059321,xxm2439
wjh3375,王菊花,152123196310427130,yul1000
wjh3376,王菊花,152123196310436895,wjh3375
lhy1833,刘海英,152123197802054132,yul1000
cgz7047,崔桂珠,152123196301294173,yul1000
gjm0610,郭金梅,152127199001310496,yul1000
zyj6481,周宇君,150722197601658320,yul1000
wfx0706,王凤霞,210106196507028716,xxm2439
ly6111,李颖,210106196506481657,wfx0706
wch9002,吴长后,210103198912579124,ly6111
wfm4869,王凤娟,210106196008243859,wfx0706
zcx9999,朱彩霞,210106196410057423,wfx0706
zcx9088,朱彩霞,210106196410246031,wfx0706
wsb4277,王书博,210106495505162983,wfx0706
jyf4757,姜玉芬,210103196509810493,wfx0706
zyq011,张雁群,210106196202980134,wfx0706
sn4939,施宁,210106197312589031,wfx0706
zcq8462,赵常清,152123196210863459,xxm2439
zzg2598a,赵志国,152127198103714068,zcq8462
zlx1386,赵丽贤,152123197212074195,zcq8462
zwq5109,赵文清,152123195107735084,zcq8462
slx3565,石立贤,210104196512258713,xxm2439
slx3565a,石立贤,210104196512281695,xxm2439
zyx2382,张延选,220225196504629154,xxm2439
wzx4140,吴志霞,320524197011528364,xxm2439
wdf1929,伍德风,342421196904692134,xxm2439
shx1735,宋宏祥,342421196801817035,xxm2439
tsx6322,张延选,220225196504459820,xxm2439
dms9059,刁米山,320724197602068159,xxm2439
dxl1479,戴晓玲,321025197411038492,xxm2439
zzg2598,赵志国,152127198103973621,xxm2439
xc6022,邢春,152123197501602487,xxm2439
gyj4133,宫玉娟,152123197806671504,xxm2439
gyl1733,葛玉莲,152123197201529374,xxm2439
lsm0997,刘淑梅,152123196505158794,xxm2439
xxm2439a,邢秀梅,152123197810942860,xxm2439
sdd4244,邹建凤,152123196502347910,xxm2439
wcy4564,吴春英,125123198106794305,xxm2439
wcx4564,吴春英,152123198110560932,xxm2439
wcx4567,吴春英,152123198106453690,xxm2439
xhr9290,邢海荣,152123197903123756,xxm2439
zyj8916,张艳菊,152123196605072913,xxm2439
lcl6738,刘存令,152123196804750426,xxm2439
gyj133,宫玉娟,152123197806258073,xxm2439
56gxy5758,郭学义,210121196712917368,xxm2439
56gmy6879,郭梅永,152123197003628195,xxm2439
56ghc9877,国洪成,372926197111879425,xxm2439
xxm2439b,邢秀梅,152123197810850619,xxm2439
56gyh3227,高月华,152123198109036587,xxm2439b
56gyh6060,高月华,152123198109954083,xxm2439
56yfx0895,于凤霞,152123196402312687,xxm2439
56gfc9948,国凤春,152123196702410352,xxm2439
56wsp3853,王淑萍,230222196907263178,xxm2439
56mxy8355,马晓艳,230222197204894516,56wsp3853
zjf8669,邹建凤,152123196502379682,xxm2439
wgq3118,王桂芹,152123196507871352,zjf8669
yfx0895,于凤霞,152123196402036158,zjf8669
xym8599,薛玉梅,152123196510897653,zjf8669
xc7187,邢春,152123197501583206,xxm2439
lhq8214,李龙青,342126197111850219,xxm2439
sgy0321,邵国云,152127195708764952,wyj9489
yyj8373,杨玉杰,152127196510253106,sgy0321
yym8773,杨玉梅,152127196105985426,yyj8373
yc0006,杨春,152127196312659478,yyj8373
168zdc,郑大沈,152127197904230598,yyj8373
yyh7894,杨玉华,152127196409065738,sgy0321
zrz6458,赵瑞芝,152127196201129385,sgy0321
jzx0937,蒋忠新,152127196409013294,zrz6458
js4636,蒋爽,152127199408701943,jzx0937
zjj497,赵金吉,152127196306692037,jzx0937
lxl5180,李晓丽,232700196309437508,sgy0321
bwr2716,卞为荣,342423196907241578,lxl5180
wcx2776,吴彩霞,341522198911816350,lxl5180
zyl2351,左玉玲,232700196912698032,lxl5180
zt3869,张涛,152127196704027186,sgy0321
sfl7260,宋福林,152127196608382540,zt3869
zsy7660,周淑媛,152127196307504692,zt3869
zsy7660a,周淑媛,152127196307701359,zsy7660
zsf292,周淑范,152127196510182734,zsy7660
168zsh,周淑恒,152127197503902751,zsy7660
sxc9356,宋宪晨,152127199205971305,zt3869
shb973,孙洪波,230823197303605971,zt3869
168kcy,阚春英,152127195911825307,zt3869
168zc,张川,152127197110650473,zt3869
168dgl,1000,152127195901018524,zt3869
1168dgl,杜桂玲,152127195901087521,zt3869
188ll,刘丽,152127196109620348,zt3869
188lyq,李艳琴,152127195803408372,zt3869
acy1481,安翠英,152127196205193650,sgy0321
lch5377,刘春花,152127196203857906,acy1481
zyc8237,张艳春,152127197202804376,acy1481
hgl4730,韩国丽,232700196301310895,acy1481
zgj1717,张国君,130302197809496783,acy1481
168zyh,张艳宏,232722196305513028,acy1481
168xyp,徐永萍,232700196309296531,acy1481
168wzl,王忠林,152127197202026493,acy1481
168zyb,张艳斌,232722195911185076,acy1481
168bhh,包会红,152127196403624180,acy1481
zyh7269,张玉华,152127195312528367,sgy0321
ghp5001,高怀平,152127197007390241,zyh7269
168lw,刘文,150102197403029543,ghp5001
zch2434,张彩虹,152127198804531064,zyh7269
ssw6243,宋淑文,152127195101739568,sgy0321
hy1218,胡艳,152127196607781905,ssw6243
lp7288,李萍,152127195510524631,hy1218
zxf8899,张雄飞,152127195509140725,lp7288
lp7288a,李萍,152127195510265403,lp7288
whj288,王海军,152127197202395467,lp7288a
scl288,单春来,152127195002281943,lp7288a
lj9609,李杰,152127195810586071,lp7288
xm3366,许梅,152127197409475368,lp7288
gsq899,高淑清,152127196004067945,lp7288
168slh,孙立华,152127197402348951,lp7288
168wd,吴迪,152127195912417986,lp7288
168wsq,王淑芹,152127195605419560,lp7288
wsq185,沃淑琴,152127195605859046,lp7288
168llp,刘丽萍,232724197204860371,lp7288
168gsl,高世龙,230281197808584790,lp7288
168jg,纪国,152127195905139846,lp7288
168wcl,王春莲,152127195603014957,lp7288
wql6298,王秋莲,152127194508758904,168wcl
168hhp,贺会平,152127196312284501,lp7288
168zhx,张惠霞,152127196405178263,lp7288
168lhy,刘恒业,130903195403802734,lp7288
168jxh,季秀华,152127195706129087,lp7288
168wdc,王德才,152127196006460518,lp7288
168ysm,杨淑梅,152127196307057934,lp7288
168hxy,郝秀云,152127196412450273,lp7288
168szj,司振江,152127196303087653,lp7288
168lfy,李福英,150723195808291348,lp7288
jwj881,纪伟杰,152127198602035274,lp7288
168zxl,张潇丽,152127199008893475,lp7288
168zxq,张潇琦,152127198209138972,lp7288
hjl8557,黄金来,152127196407185937,lp7288
zyg5137,赵亚光,152127196908128904,lp7288
zyj8087,赵亚静,152127196610814069,lp7288
lp7288b,李萍,152127195510083651,lp7288
wcy8868,吴传英,152127196505289536,hy1218
wcq6280,吴传全,152127196212268519,wcy8868
cdx8583,程德祥,320921195801578120,wcy8868
cdj5898,程德俊,320921196703571268,cdx8583
168dhm,董红梅,320921196210682019,cdx8583
168cyj,程玉洁,320921198404281734,cdx8583
168lyh,李玉华,320921195603406932,cdx8583
168zmz,周明忠,320921195512481639,cdx8583
wca4079,吴传安,152127195302695480,wcy8868
wyl2783,吴传全,152127196212934127,wca4079
zzq0285,张志全,152127195412715429,wca4079
wcb4267,吴传 碧,152127195412359840,wcy8868
ljj3525,李京津,152127199210653027,wcy8868
cdx8583a,程德祥,320921195801193275,wcy8868
ysh82,杨淑华,152128196710491782,wcy8868
hyl8650,黄玉兰,232700196611693275,wcy8868
gyj3034,高永珺,232700199305159876,hyl8650
hfy375,黄福义,232700197903943721,hyl8650
hj113,黄杰,232700197503029876,hyl8650
168fjz,范景芝,152127195901470586,wcy8868
168zyq,赵亚清,152127196501751930,wcy8868
sxq3260,孙晓芹,152127195210031852,wcy8868
wcy1755,吴传英,152127196505043981,wcy8868
wcq6280a,吴传全,152127196212251846,wcy8868
wca4079a,吴传安,152127195302450732,wcy8868
szh9337,司振湖,152127196508365472,hy1218
grq8843,郭瑞奇,152127197404084753,hy1218
lxf7587,李秀范,152127196403538067,ssw6243
wcx6881,王彩霞,152127196410254870,lxf7587
lqy2306,李秋艳,152127196509502843,wcx6881
jym3298,贾玉梅,152127196301359074,lqy2306
lyj9719,李艳杰,150723197411276830,wcx6881
zyp6764,周艳平,152127196610932617,wcx6881
lrh5716,林荣桓,152127196108518962,wcx6881
gsh1997,郭素华,152127197204197645,lxf7587
gsf817,郭淑芬,152127196012659812,lxf7587
sly638,苏丽叶,152127196306679384,gsf817
wl6216,瓦林,152127195506085264,gsf817
lyl5784,刘艳莉,152127196603627935,ssw6243
dgb6677,代桂彬,152127196308025498,ssw6243
dxb6388,杜秀波,152127197203756982,ssw6243
sxf8969,宋雪飞,220319195911798061,ssw6243
168wcs,王春生,152127195410834709,ssw6243
ssk9868,孙淑坤,232700195610215738,sgy0321
lpy6009,李鹏宇,232700194005489530,sgy0321
gxz9517,高秀芝,152127196810641537,sgy0321
rsl9901,任淑兰,232700194509864913,sgy0321
cyj7775,陈亚君,232700196710390426,rsl9901
cyl687,陈亚丽,232700196209734056,cyj7775
lpy6109,李鹏宇,232700194005269478,sgy0321
hlp5111,郝丽萍,152127197201291840,sgy0321
cjj3075,丛晶晶,210213198203105239,sgy0321
zxj7656,张秀菊,232700197009629835,sgy0321
rfm6457,冉凤梅,120108197303712095,sgy0321
clw8174,丛林旺,152127198511054839,sgy0321
sj5618,孙娟,152127198406715038,sgy0321
bjp689,边建平,232700197409561027,sgy0321
168cyg,陈永刚,152123197707680143,sgy0321
168zqj,张秋景,211422198706492703,168cyg
168lrq,李荣秋,152123197805874295,168cyg
cyg360,陈永刚,152123197707023486,168cyg
168wyx,王英欣,232700197007397815,sgy0321
168zjl,赵金林,152127195508368075,sgy0321
168zfy,张凤云,152127195708296371,sgy0321
168yxy,杨秀英,232700195512971052,sgy0321
188ssw,宋淑文,152127195101678051,sgy0321
188zyh,张玉华,152127195312629173,sgy0321
188wyx,王英欣,232700197007130985,188zyh
188sj,孙娟,152127198406650421,sgy0321
188lpy,李鹏宇,232700194005745961,sgy0321
188yyj,杨玉杰,152127196510286701,sgy0321
188dyh,董艳华,232700196904306485,sgy0321
188wcs,王春生,152127195410360971,sgy0321
188yyh,杨玉华,152127196409417560,sgy0321
188cjj,丛晶晶,210213198203647013,sgy0321
188cyj,陈亚君,232700196710047253,sgy0321
188acy,安翠英,152127196205437160,sgy0321
188tsf,陶淑芳,152127195706934561,188acy
188wzl,王忠林,152127197202367458,188acy
188zlg,展立贵,152127197002128405,sgy0321
188lch,刘春花,152127196203357946,sgy0321
188clw,丛林旺,152127198511367182,sgy0321
188yc,杨春,152127196312863259,sgy0321
188ljf,刘金凤,230223197311034129,sgy0321
188wqh,王清华,232700195609385241,sgy0321
188zly,赵立云,232700196704128439,sgy0321
188wcj,王长久,232700196307380547,sgy0321
188bwr,卞为荣,342423196907230849,188wcj
lfy9936,卢凤艳,152326197406049135,wyj9489
yqj6720,于庆杰,152301197507163247,lfy9936
zht8880,张海涛,222303197604398125,yqj6720
yqm0116,于庆梅,152326197311298745,yqj6720
yqw8390,于庆伟,152326197901604859,yqj6720
wxl6314,王晓苓,152326197508321605,lfy9936
yxs4335,杨晓双,152326199001056973,wxl6314
wzg9918,王志刚,152326197309241075,wxl6314
zyh722,张永辉,232330197109819647,wxl6314
lwh687,刘文惠,152326197604739865,wxl6314
lyh4060,罗艳红,152326197704953821,lwh687
lhy0687,罗红艳,152326197603407312,lwh687
yjc6081,岳建成,152326197112428097,wxl6314
wmh2188,武明辉,152326197604576490,wxl6314
ll8132,李利,152326197712461790,lfy9936
wzw678,王作文,152321196809648951,ll8132
xjr0359,夏金荣,412922196505164597,lfy9936
xjs2257,夏佳思,411322198712073865,xjr0359
hwg5726,黄文革,230206196610286304,lfy9936
hgl1247,黄广玲,230206197107705148,hwg5726
zyj8225,张谊军,232622195705675413,hgl1247
zyj225,张谊军,232622195705071342,hgl1247
zlj3655,张立娟,152326198003732406,lfy9936
myl9322,毛艳龙,152326198006375402,zlj3655
lwz0588,刘文志,152326195206592470,lfy9936
zxl4109,左喜凌,152326197201684957,lfy9936
zdh7419,朱东华,152326198311128479,lfy9936
zbl5669,张宝玲,152326198312946815,lfy9936
jsh8695,姜尚虹,152326198507135764,lfy9936
jsh695,姜尚虹,152326198507568731,jsh8695
lgz0936,卢桂芝,152326196004105648,lfy9936
lwz05881,刘文志,152326195206082457,lfy9936
yqm01161,于庆梅,152326197311078145,lfy9936
xjr03591,夏金荣,412922196505192653,lfy9936
csh625,陈淑华,152326197304810753,lfy9936
xjp2102,谢建萍,152326197805291487,lfy9936
zyl3466,张玉玲,152326197311465720,lfy9936
jsr7810,姜守荣,152123195102675084,wyj9489
zjh8034,张景华,152123197409568042,jsr7810
xbl2155,宣宝利,152628197210890716,jsr7810
szj789,宋宗君,152123197404815762,jsr7810
xy3284,宣英,152123194412037624,jsr7810
zyl3837,张艳玲,152123197508516423,jsr7810
ycl4832,杨翠玲,152123197811190863,jsr7810
xlh86588,宣利红,152123197108379821,jsr7810
jsr7811,蒋守荣,152123195102369850,jsr7810
syf9178,宋玉芳,232700197303237518,wyj9489
sgx8612,尚桂霞,232700197405086193,syf9178
wsh3551,吴松海,152127196601273605,syf9178
wy2246,吴英,152127195508756031,wsh3551
sxr6734,孙秀荣,152127195901369028,wy2246
sxh9252,孙秀华,152127196601389472,sxr6734
yhj9567,于慧杰,232700196608152639,syf9178
gcx2112,谷彩霞,232700196211134056,yhj9567
ldq9875,刘殿琦,232700195704083751,yhj9567
lxy7188,刘秀艳,232700197605341985,yhj9567
zq0900,朱强,232700196812184609,lxy7188
zby9737,朱博宇,232700199803409625,lxy7188
ych0884,于翠花,152127196409948675,yhj9567
wsf6258,吴淑芳,232724196305418309,ych0884
yyf7739,杨玉凤,232700196304468503,ych0884
lyj3787,凌玉杰,232602196511230685,ych0884
wy9773,沃岩,232700196910905438,ych0884
yy3250,尤洋,413026198810169284,ych0884
wxp4091,王秀萍,232722196309587096,ych0884
wxh7022,王秀环,232721195912480315,wxp4091
jhm0751,姜洪敏,232602196201628093,wxp4091
yyj860,任英杰,232722196603653120,wxp4091
yzl0880,于振利,230703196310694512,wxp4091
mjq446,马洁琼,232700198807329146,wxp4091
yjl3101,于景岚,232724196404328015,mjq446
wgj3377,王桂菊,232722196308853216,mjq446
yjl101,于景岚,232724196404518937,mjq446
yjz5868,于景芝,232724196902918072,yjl101
aw899,安伟,232700196404602734,wxp4091
blr679,包丽荣,232722197403748319,wxp4091
yjb7575,杨金波,210213198201019537,wxp4091
lhy955,刘合云,232721196301857214,wxp4091
mdj155,牟得杰,230603197709246837,lhy955
lhy700,刘荷英,230602196611935178,lhy955
smh3022,孙美华,370602196303241590,wxp4091
cxl9919,崔秀玲,232722196412548297,wxp4091
ycs1251,于春生,232724196004245976,ych0884
yxr9810,于秀荣,232700196504183024,ych0884
whw6066,王惠武,152104196208804937,ych0884
zyx9853,张艳霞,232330197006836240,ych0884
xjg0884,薛俊革,232700196704390574,ych0884
zlh0819,张丽环,232700196710815360,xjg0884
zly640,张丽英,232700197004236904,zlh0819
ljj8556,刘君君,232700198109260851,zlh0819
zlx3758,张丽新,232700197202016495,zlh0819
lgj007,李国军,232700195404637092,xjg0884
zxm181,张秀梅,232321197608065721,xjg0884
lfl468,李凤玲,232700195705304718,xjg0884
wdx9312,王东霞,232700197612903564,syf9178
hgy3185,韩国艳,232700197602506294,syf9178
zxy2954,张秀云,232700196303936582,syf9178
lgh9868,李国华,232700196601416579,wyj9489
zlh8231,朱丽华,232700197205526783,lgh9868
lj8200,李静,232700197304765839,lgh9868
dys9798,杜云生,232700197406380279,wyj9489
zyl5656,张玉玲,232700197411526981,dys9798
cym1868,陈艳梅,232724197108762198,zyl5656
zfz2280,赵凤珍,232724196305372596,wyj9489
zfq1300,赵凤芹,232724195603573081,zfz2280
zfy5730,赵凤艳,232724197311351792,zfz2280
zfg3775,赵凤国,232700196512309542,zfz2280
xhx8823,辛海霞,232724198203142856,zfz2280
ljl1712,龙菊莲,232724196205826504,zfz2280
zsq1565,赵士清,232724196609631287,zfz2280
wyy8646,王玉燕,232724197703139078,zfz2280
gjh2124,桂家洪,422823198301285473,wyj9489
wym9878,王玉梅,152301196309564207,gjh2124
mzw8898,孟智文,152301198612214703,wym9878
ywl4688,姚乌兰,152301196506016893,gjh2124
yjp6255,尤建平,152301196511314856,gjh2124
xcx7392,徐长秀,130434197104396725,gjh2124
hj2025,韩敬,320322198303431280,xcx7392
yyj0605,杨玉娟,332523196608358046,gjh2124
wyh3608,吴艳辉,130229197009738596,gjh2124
lhb4588,廉海波,130229196903982056,wyh3608
llm2666,刘立明,130229196804532764,lhb4588
ylx668,杨立香,130229198006357149,lhb4588
yjz660,杨建忠,130229196403438561,lhb4588
zyj8156,张艳静,130102197810201843,lhb4588
zyh263,张艳红,130223197705067243,zyj8156
ww8185,王伟,130204197710746395,zyj8156
zyh9227,张艳红,130223197705971032,zyj8156
zy7457,周阳,130223197707713498,zyj8156
zjy5982,周佳妍,130223200109564187,zy7457
zy0996,张英,130223193703420981,zyj8156
zxh5280,张秀花,130223194102047312,zyj8156
wrz1433,王润泽,130204200407769403,zyj8156
lzf5111,刘振方,130229197109183025,lhb4588
wlj2169,王立军,130229196603835427,lhb4588
wyf4770,吴艳芳,130229197204368540,wyh3608
wya3188,吴艳爱,130229197403518023,wyh3608
lhy816,廉海燕,130229196511024967,wyh3608
qmm903,乔明媚,130229199412829415,lhy816
qbh5489,乔丙怀,130229196712068493,wyh3608
qmn5017,乔明娜,130229198902467309,wyh3608
lty8836,廉天颖,130229199311368025,wyh3608
lhy7863,廉海英,130229197206679054,wyh3608
sxd9668,孙孝丹,130229196907391802,wyh3608
wjg5695,吴建国,130229196908029567,sxd9668
sbc6629,孙宝成,130229198009987524,wyh3608
sll8126,孙丽丽,130229198209429501,sbc6629
wyg5668,吴艳国,130229197411840567,wyh3608
shh6383,孙洪湖,130229197102635271,wyh3608
whx0681,伍海秀,432627197302672850,gjh2124
hhb764,韩海宝,152322198003356078,whx0681
mjx7879,苗吉霞,370623196408153876,hhb764
lzy5169,李泽云,412932196704085193,hhb764
wzy7012,王振阳,152327195612540387,hhb764
yym1987,杨玉梅,130924197403460895,hhb764
czq951,陈治强,413025197110123498,hhb764
zyl2277,祖艳利,220502196804423617,hhb764
hhz6236,韩海珍,152322197801516723,hhb764
zqc635,张秋成,152322199110270513,hhb764
zhy0069,邹红英,352624197710634058,hhb764
wgj8668,温桂军,372502196508602314,whx0681
lzf7978,李召福,372502196805074231,wgj8668
zzh8916,张泽华,510821198102502841,whx0681
lfy955,刘芬英,330424197111471589,zzh8916
trm2513,覃瑞明,142323197901217369,whx0681
dzm0695,邓忠民,460003198408541370,whx0681
xb3291,邢兵,130684196312980621,whx0681
syx5096,孙永侠,130132197603183290,xb3291
ryj3587,荣雅婕,650106195411016295,whx0681
zcb6025,曾彩标,441424197608562793,whx0681
sjj4559,申建军,132532196805904587,whx0681
dyx123,丁云仙,360203194612839261,sjj4559
nhc559,聂红春,422202197203419507,sjj4559
zjl726,赵俊岭,150221198306958124,sjj4559
tmh322,汤美华,320520196403915034,sjj4559
gl436,葛亮,320581198911907318,tmh322
gjc9322,葛继承,320520196603950724,gl436
txm2078,屠雪梅,320520195411473096,gjc9322
sfy5582,施凤玉,320522196004971305,gjc9322
srf8541,苏瑞芬,320520195208618039,gjc9322
szg0582,苏志刚,320522195005073526,srf8541
tmq6317,汤妹琴,320520195803194287,gjc9322
ghy7213,管洪元,320520195112438625,tmq6317
njf0283,倪菊芬,320520194906869437,tmq6317
ldw537,李德武,132532197001409257,sjj4559
hqr909,侯启如,132521196505538026,ldw537
lwl882,李伟亮,410481198902837410,sjj4559
